,NAME,RA,DEC,Class,SC_EP_8_FLUX,SC_EP_5_FLUX,SC_EP_4_FLUX,SC_EP_3_FLUX,SC_EP_2_FLUX,SC_FVAR,SC_DET_ML,G,BP,RP,J,H,K,W1,W2,W3
4770,SDSS J01022+0014,15.552499999999998,0.24277777777777776,AGN,5.988519e-14,1.6451686999999995e-14,1.2185518e-14,9.54025e-15,8.099649000000002e-15,,158.0102,20.603537,20.336956,19.275651999999997,,,,15.520999999999999,14.874,11.762
4771,IRAS 01003-2238,15.707916666666666,-22.36583333333333,AGN,3.5459235e-14,9.212018e-15,4.005442e-15,4.9728195e-15,9.917057e-15,,1170.114,18.406029,18.014473000000002,17.188576,16.082,15.272,14.269,12.887,11.255999999999998,6.082000000000001
4772,SDSS J01029+0018,15.728749999999998,0.3072222222222222,AGN,1.0511138000000001e-13,4.778427e-14,8.597114e-15,1.2234353e-14,1.7718223e-14,,193.9483,20.530835999999997,20.432442,19.566174,,,,14.895,14.205,12.062000000000001
4773,XMM J01034-0646B,15.864166666666666,-6.778888888888887,AGN,1.701946e-13,1.1679617000000001e-13,3.8097584e-14,1.3227583000000002e-14,9.439619999999999e-16,,339.7898,,,,,,,,,
4774,XMM J01035-0640,15.891249999999998,-6.671388888888887,AGN,6.834039000000001e-14,3.6992626e-14,1.4109286e-14,1.0551689e-14,4.940247e-15,,272.1934,,,,,,,15.144,14.614,12.206
4775,SDSS J01036+0034,15.908749999999998,0.5738888888888888,AGN,1.4100826e-13,9.963001400000001e-14,1.6300124e-14,1.2325789e-14,2.6752576e-15,,72.05483000000002,20.06864,19.692854,18.560442000000002,,,,14.673,13.717,10.575999999999999
4776,SDSS J01038+0026,15.969166666666665,0.4494444444444444,AGN,3.867584e-14,1.7908128e-14,2.9920503000000005e-15,1.7126642999999993e-15,3.2857871000000002e-15,,46.71992,20.69456,20.644613,20.195683,,,,16.944000000000003,15.958,12.437000000000001
4777,XMM J01039-0637,15.981666666666666,-6.619722222222222,AGN,3.082718499999999e-14,4.184696e-15,1.110082e-14,5.806179e-15,5.1456993e-15,0.15066426,360.2923,,,,,,,,,
4778,XMS J01039-0625,15.991666666666665,-6.422777777777778,AGN,6.677650599999998e-14,3.4379014e-14,1.4905755e-14,1.1015536000000002e-14,4.316916e-15,0.17449805,505.7857,,,,,,,,,
4779,XMM J01040-0636,16.012083333333333,-6.599999999999999,AGN,2.1742531e-14,3.6551297e-15,6.7579634e-15,5.582814000000001e-15,3.3837359999999996e-15,,106.5168,,,,,,,16.904,17.037,12.28
4780,SDSS J01041+0008,16.03833333333333,0.14583333333333331,AGN,2.410048e-13,1.1810725e-13,6.457324999999998e-14,3.9103005e-14,1.5473842e-14,0.25964895,529.7604,20.18277,18.796570000000003,17.305923,15.812999999999999,15.073,14.482000000000001,13.517999999999999,13.1,10.201
4781,XMM J01041-0630,16.04208333333333,-6.503611111111112,AGN,1.6777265e-14,3.0373117e-15,2.173087e-15,2.5477820999999998e-15,2.1714996e-15,,99.1313,,,,,,,,,
4782,XMM J01041-0652,16.047916666666666,-6.8691666666666675,AGN,1.2055404e-14,4.464301e-16,2.0955396000000002e-15,3.8071203999999986e-15,2.4782935e-15,,46.86915,,,,,,,16.62,16.088,11.925
4783,XBS J01043-0614,16.08958333333333,-6.238055555555555,AGN,1.5254322999999999e-13,5.918403e-14,3.7039426e-14,2.7892022000000004e-14,1.9096653000000002e-14,0.18501297,1290.724,,,,,,,16.274,15.824000000000002,12.126
4784,XMS J01048-0627,16.206249999999994,-6.456388888888887,AGN,1.2164020000000001e-13,8.7475044e-14,2.6549836e-14,5.892687e-15,6.2849474e-16,0.40117148,256.5333,20.38605,19.508581,18.065945000000003,16.422,16.052,15.457,14.592,13.862,10.339
4785,XMS J01051-0615,16.27708333333333,-6.2525,AGN,5.925941400000001e-14,4.424678e-14,1.781973e-15,5.548155e-15,2.8419334e-15,,43.09719000000001,,,,,,,,,
4786,SDSS J01052+0002,16.310416666666665,0.04055555555555555,AGN,1.4811040000000002e-13,1.4181131000000005e-14,4.0490536e-14,2.7426144e-14,3.0520298e-14,,782.4088,20.189949,19.796125,18.621021,17.102999999999998,16.118,15.583,14.942,14.194,11.572000000000001
4787,SDSS J01054-0017,16.371666666666666,-0.2938888888888889,AGN,1.448497e-14,1.9798970000000002e-15,2.3102689999999998e-15,3.5313631999999997e-15,2.6250898e-15,,70.11673,20.744564,21.3665,20.108463,,,,16.492,15.695,11.655
4788,SDSS J01057+0007,16.443749999999998,0.11833333333333332,AGN,2.632982e-13,8.647877e-14,3.924702e-14,4.333785e-14,4.714409e-14,0.11827341,1819.594,19.733047,19.599419,18.567717000000002,17.261,16.137999999999998,15.463,14.522,13.610999999999999,10.567
